"id","keyword","keyword_free_punctuation"
"5126727","اِتِّباع ","اتباع "
"5126728","اِتَّبَعَ (طريقًا)","اتبع (طريقا)"
"5126729","اِتِّجار غير مشروع لابتزاز المال (نَصْبَة)","اتجار غير مشروع لابتزاز المال (نصبة)"
"5126730","اِتِّجاه ","اتجاه "
"5126738","اِتِّجاهيّ ","اتجاهي "
"5126739","اِتَّجَرَ ","اتجر "
"5126740","اِتَّجَهَ مُباشَرَةً إلى ","اتجه مباشرة إلى "
"5126741","اِتِّحَاد ","اتحاد "
"5126743","اِتِّحاديّ ","اتحادي "
"5126744","اِتَّحَدَ ","اتحد "
"5126745","اِتَّخَذَ ","اتخذ "
"5126750","أَتْخَمَ (الأسواق)","أتخم (الأسواق)"
"5126751","أَتْرِبة (فُتاتٌ معدنيّ عَديمُ القيمة)","أتربة (فتات معدني عديم القيمة)"
"5126752","اِتِّزَان ","اتزان "
"5126753","اِتِّساع ","اتساع "
"5126755","اِتِّساعيَّة (قابليَّةُ الامتداد)","اتساعية (قابلية الامتداد)"
"5126756","اِتِّساق ","اتساق "
"5126757","اِتَّسَعَ ","اتسع "
"5126759","اِتِّصال ","اتصال "
"5126762","اِتَّصَلَ ","اتصل "
"5126765","اِتَّضَحَ ","اتضح "
"5126766","أَتْعَبَ ","أتعب "
"5126767","اِتِّفَاق ","اتفاق "
"5126768","اِتِّفَاقًا ","اتفاقا "
"5126769","اِتِّفَاقِيّ ","اتفاقي "
"5126770","اِتِّفَاقِيَّة ","اتفاقية "
"5126771","اِتَّفَقَ ","اتفق "
"5126774","اِتِّقاء ","اتقاء "
"5126775","اِتِّقاد ","اتقاد "
"5126777","إِتْقان ","إتقان "
"5126779","اِتَّقَدَ ","اتقد "
"5126780","أَتْقَنَ ","أتقن "
"5126781","اِتَّكَأَ ","اتكأ "
"5126782","اِتِّكال ","اتكال "
"5126783","اِتَّكَلَ على ","اتكل على "
"5126784","إتلاف ","إتلاف "
"5126785","أَتْلَفَ ","أتلف "
"5126786","أَتَمَّ ","أتم "
"5126787","إِتْمام ","إتمام "
"5126788","أَتْمَتَ (شَغَّلَ أو صَيَّر آليًّا)","أتمت (شغل أو صير آليا)"
"5126789","أَتْمتَة ","أتمتة "
"5126790","اِتِّهَام ","اتهام "
"5126791","اِتَّهَمَ ","اتهم "
"5126792","أَتول (جزيرة مَرجانيّة حلقيّة)","أتول (جزيرة مرجانية حلقية)"
"5126793","أَتُون ","أتون "
"5126794","أَتَى ","أتى "
"5126798","أُتيحت له الفُرْصَة ","أتيحت له الفرصة "
"5126799","أَثاث ","أثاث "
"5126800","أَثَارَ ","أثار "
"5126811","إِثَارَة ","إثارة "
"5126812","إِثْبات ","إثبات "
"5126813","أَثْبَتَ ","أثبت "
"5126814","أَثَّثَ ","أثث "
"5126815","أثْخَنَ ضَرْبًا ","أثخن ضربا "
"5126816","أَثَّرَ (في)","أثر (في)"
"5126819","أَثَر ","أثر "
"5126827","إثراء ","إثراء "
"5126828","أَثَرِيّ ","أثري "
"5126829","إثغار ","إثغار "
"5126830","إثقال ","إثقال "
"5126831","أَثْقَلُ ","أثقل "
"5126833","أَثلَجَ ","أثلج "
"5126834","أَثِمَ ","أثم "
"5126835","إِثْم ","إثم "
"5126836","إثمار ","إثمار "
"5126837","أَثْمَرَ (للأرض والنباتات)","أثمر (للأرض والنباتات)"
"5126838","اِثْنَا عشر ","اثنا عشر "
"5126839","أَثْنَاء ","أثناء "
"5126840","اِثْنَان ","اثنان "
"5126841","أَثْنَى (على)","أثنى (على)"
"5126842","الإثنين (يَوْم)","الإثنين (يوم)"
"5126843","أَثير (سَيّالٌ افْتِراضيّ يملأُ الفضاء)","أثير (سيال افتراضي يملأ الفضاء)"
"5126844","أَثير ","أثير "
"5126846","إثيل (شِقٌّ عُضويّ أحاديُّ المُكافِئ)","إثيل (شق عضوي أحادي المكافئ)"
"5126847","أَثْيَلَة (مُعالَجة بالكحول الإثيليّ)","أثيلة (معالجة بالكحول الإثيلي)"
"5126848","إثيلين ","إثيلين "
"5126849","أَثِيم ","أثيم "
"5126850","أَجَّ ","أج "
"5126851","أَجَابَ ","أجاب "
"5126852","إجابة ","إجابة "
"5126853","أُجَاج ","أجاج "
"5126854","أَجادَ ","أجاد "
"5126855","إِجادة ","إجادة "
"5126856","إِجارة ","إجارة "
"5126857","أَجَازَ ","أجاز "
"5126858","إِجازة ","إجازة "
"5126859","إِجّاص ","إجاص "
"5126860","إِجْبار ","إجبار "
"5126861","إِجْباريّ ","إجباري "
"5126862","أَجْبَرَ ","أجبر "
"5126863","اِجْتَاحَ ","اجتاح "
"5126864","اِجْتازَ ","اجتاز "
"5126868","اِجْتَثّ ","اجتث "
"5126869","اِجْتِثاث ","اجتثاث "
"5126870","اِجْتِذاب ","اجتذاب "
"5126871","اِجْتَذَبَ ","اجتذب "
"5126872","اِجْتِرار ","اجترار "
"5126873","اِجْتِراف ","اجتراف "
"5126875","اِجْترَفَ (اِكتسَحَ)","اجترف (اكتسح)"
"5126876","اِجْتَزَّ ","اجتز "
"5126877","اِجْتَزَأَ ","اجتزأ "
"5126878","اِجْتِزاز ","اجتزاز "
"5126879","اِجْتِفاء (إزالةُ الجُفاء)","اجتفاء (إزالة الجفاء)"
"5126880","اِجْتِمَاع ","اجتماع "
"5126883","اِجْتِماعيّ ","اجتماعي "
"5126885","اِجْتَمَع ","اجتمع "
"5126888","اِجْتِناب ","اجتناب "
"5126889","اِجْتِهاد ","اجتهاد "
"5126890","اِجْتِيَاح ","اجتياح "
"5126891","أَجْدَبُ (مُجْدِب)","أجدب (مجدب)"
"5126892","أَجَّرَ ","أجر "
"5126893","أَجَّلَ ","أجل "
"5126894","أَجْر ","أجر "
"5126895","إِجْرَاء ","إجراء "
"5126898","إِجْرَاءات ","إجراءات "
"5126900","إِجْرَائِيّ ","إجرائي "
"5126901","الإِجْرام ","الإجرام "
"5126902","أجْرامٌ سَماويَّة ","أجرام سماوية "
"5126903","إِجْراميّ ","إجرامي "
"5126904","آجُرّة ","آجرة "
"5126905","أُجْرَة ","أجرة "
"5126908","أَجْرَد ","أجرد "
"5126910","أَجْرَى (قامَ بِـ)","أجرى (قام بـ)"
"5126916","أَجْزَع ","أجزع "
"5126917","أَجسامٌ ساقِطة ","أجسام ساقطة "
"5126918","أَجَشّ ","أجش "
"5126919","أَجَل ","أجل "
"5126922","أجَلَّ ","أجل "
"5126923","إِجلاء ","إجلاء "
"5126924","إِجْلال ","إجلال "
"5126925","أَجْلَسَ ","أجلس "
"5126926","أَجْلَى ","أجلى "
"5126927","أَجَمّ (عَديمُ القُرون)","أجم (عديم القرون)"
"5126928","إِجْمَاد ","إجماد "
"5126929","إِجْمَاع ","إجماع "
"5126930","إِجْمَاعيّ ","إجماعي "
"5126931","إِجْمَال ","إجمال "
"5126933","إِجْمَالاً ","إجمالا "
"5126934","إِجْمَاليّ ","إجمالي "
"5126936","أَجَمَة ","أجمة "
"5126937","أَجْمَلَ ","أجمل "
"5126939","الأجميَّة ","الأجمية "
"5126940","أَجْنَبِيّ ","أجنبي "
"5126941","أجَنَة ","أجنة "
"5126942","إِجْهَاد ","إجهاد "
"5126943","إجهاداتٌ مُتَوازِنة ","إجهادات متوازنة "
"5126944","إجهاض ","إجهاض "
"5126945","أَجْهَدَ الفكر ","أجهد الفكر "
"5126946","أَجْهَدَ النَّفس ","أجهد النفس "
"5126947","أَجْهِزَة ","أجهزة "
"5126950","أَفْضَل ","أفضل "
"5126951","الأَجْوَد ","الأجود "
"5126953","أَجوَف ","أجوف "
"5126954","أجيالُ الحواسيب ","أجيال الحواسيب "
"5126955","أَجيج ","أجيج "
"5126956","أَجير ","أجير "
"5126957","أُحَادِيّ ","أحادي "
"5126958","أَحَاطَ ","أحاط "
"5126959","أَحافير ","أحافير "
"5126960","أَحَالَ ","أحال "
"5126962","إِحالة ","إحالة "
"5126963","أَحَبَّ ","أحب "
"5126965","أَحْبَطَ ","أحبط "
"5126966","إِحْباط ","إحباط "
"5126967","أُحبولة ","أحبولة "
"5126968","اِحْتَاجَ ","احتاج "
"5126969","اِحْتَاطَ ","احتاط "
"5126971","اِحْتَالَ ","احتال "
"5126973","اِحتِباس ","احتباس "
"5126974","اِحْتَبَس ","احتبس "
"5126975","اِحْتَجَّ ","احتج "
"5126977","اِحْتِجاب ","احتجاب "
"5126978","اِحْتِجاج ","احتجاج "
"5126980","اِحتجاز ","احتجاز "
"5126981","اِحْتَجَزَ ","احتجز "
"5126982","اِحتِدام ","احتدام "
"5126983","اِحْتَذَى (بِـ)","احتذى (بـ)"
"5126984","اِحْتِراز ","احتراز "
"5126985","اِحْتِراق ","احتراق "
"5126986","اِحْتِراقيَّة (قابليَّةُ الاحتراق)","احتراقية (قابلية الاحتراق)"
"5126987","اِحْتِرام ","احترام "
"5126990","اِحْتَرَس ","احترس "
"5126991","اِحْتَرَقَ ","احترق "
"5126993","اِحْتَرَمَ ","احترم "
"5126994","اِحْتِساب ","احتساب "
"5126995","اِحْتَسَبَ ","احتسب "
"5126997","اِحْتَسَى ","احتسى "
"5126998","اِحْتَشَدَ ","احتشد "
"5126999","اِحْتِضان ","احتضان "
"5127000","اِحْتَضَنَ ","احتضن "
"5127001","اِحْتِفَاظ ","احتفاظ "
"5127002","الاحْتِفَاظيَّة ","الاحتفاظية "
"5127003","اِحْتِفَال ","احتفال "
"5127005","اِحْتِفَاليّ ","احتفالي "
"5127006","اِحْتَفَظَ بِـ ","احتفظ بـ "
"5127007","اِحْتَفَظَ برباطة جأشه ","احتفظ برباطة جأشه "
"5127008","اِحْتَفَظَ بموقفه ","احتفظ بموقفه "
"5127009","اِحْتَفَلَ بِـ ","احتفل بـ "
"5127010","اِحْتَفَى بِـ ","احتفى بـ "
"5127011","اِحْتِقَار ","احتقار "
"5127012","اِحتِقان ","احتقان "
"5127013","اِحْتَقَر ","احتقر "
"5127014","اِحْتَكّ بِـ ","احتك بـ "
"5127015","اِحْتِكار ","احتكار "
"5127016","اِحْتِكَاك ","احتكاك "
"5127017","اِحْتِكَاكيّ ","احتكاكي "
"5127018","اِحْتَكَر ","احتكر "
"5127019","اِحْتَلَّ ","احتل "
"5127020","اِحْتِلال ","احتلال "
"5127021","اِحْتَمى ","احتمى "
"5127022","اِحْتِمال ","احتمال "
"5127024","اِحْتِماليَّةُ التأيُّن ","احتمالية التأين "
"5127025","اِحْتَمَلَ ","احتمل "
"5127026","اِحْتِوَاء ","احتواء "
"5127027","اِحْتَوَى عَلَى ","احتوى على "
"5127028","اِحْتِيَاط ","احتياط "
"5127029","اِحْتِيَاطِيّ ","احتياطي "
"5127030","اِحْتِيَال ","احتيال "
"5127031","اِحْتِيَالِيّ ","احتيالي "
"5127032","إِحْجَام ","إحجام "
"5127033","أَحْجَمَ (عن)","أحجم (عن)"
"5127034","أُحْجِيّة ","أحجية "
"5127035","أَحَد ","أحد "
"5127039","الأَحَد (يَوْم)","الأحد (يوم)"
"5127040","إِحْداث ","إحداث "
"5127041","إِحْداثيّ ","إحداثي "
"5127042","إِحداثيّاتٌ أُسطوانيَّة ","إحداثيات أسطوانية "
"5127043","أَحْدَب ","أحدب "
"5127044","أَحْدَثُ ","أحدث "
"5127045","أَحْدَثَ ","أحدث "
"5127046","أحدَقَ بِـ ","أحدق بـ "
"5127047","أَحدهما ","أحدهما "
"5127048","اِحْدَودَب ","احدودب "
"5127049","إِحْدى ","إحدى "
"5127050","أَحَديّ (لا يتجزَّأ)","أحدي (لا يتجزأ)"
"5127051","اِحْدِيداب ","احديداب "
"5127052","إِحْرار ","إحرار "
"5127053","إِحْراريّ ","إحراري "
"5127054","إِحْراق ","إحراق "
"5127056","أَحْرَجَ ","أحرج "
"5127057","أَحْرَزَ ","أحرز "
"5127058","أَحْرَقَ ","أحرق "
"5127060","أَحْرَى ","أحرى "
"5127061","أَحْزِمة ","أحزمة "
"5127062","أَحْزَنَ ","أحزن "
"5127063","أَحَسَّ ","أحس "
"5127064","إِحْسَاس ","إحساس "
"5127066","إِحْسان ","إحسان "
"5127067","أَحْسَرُ (البَصَر)","أحسر (البصر)"
"5127068","أَحْسَنُ ","أحسن "
"5127069","أَحْشَاء ","أحشاء "
"5127070","إِحْصَاء (رَسْمِيّ للسُّكّان)","إحصاء (رسمي للسكان)"
"5127071","إِحْصَائِيّ ","إحصائي "
"5127072","إِحْصَائِيّات ","إحصائيات "
"5127073","أَحْصَى ","أحصى "
"5127075","أَحْضَرَ ","أحضر "
"5127077","أُحْفُور ","أحفور "
"5127078","أَحَقٌّ ما تقول؟ ","أحق ما تقول؟ "
"5127079","إِحْكَام ","إحكام "
"5127081","أَحْكَمَ (أَوْثَقَ الرباط)","أحكم (أوثق الرباط)"
"5127084","أَحَلَّ (جُزءًا من البَرنامَج مكانَ آخر)","أحل (جزءا من البرنامج مكان آخر)"
"5127085","إِحْلال ","إحلال "
"5127086","أَحْلام اليَقظَة ","أحلام اليقظة "
"5127087","إِحْليل ","إحليل "
"5127088","إِحْماء ","إحماء "
"5127089","إِحْماض ","إحماض "
"5127090","أَحْمَر ","أحمر "
"5127094","اِحْمَرَّ ","احمر "
"5127096","أَحْمَضَ ","أحمض "
"5127097","أَحْمَق ","أحمق "
"5127098","إحْنَاءَة ","إحناءة "
"5127099","أَحْنَقَ ","أحنق "
"5127100","أَحْوَل العَيْنَيْن ","أحول العينين "
"5127101","أَحْيا ","أحيا "
"5127102","أَحْياء ","أحياء "
"5127103","إِحْياء ","إحياء "
"5127104","أَحْيائيّ ","أحيائي "
"5127105","أَحْيَانًا ","أحيانا "
"5127106","أَخ ","أخ "
"5127110","أَخّاذ ","أخاذ "
"5127111","أَخَافَ ","أخاف "
"5127112","أَخْبَى ","أخبى "
"5127113","أَخْبَار ","أخبار "
"5127114","إِخْبَار ","إخبار "
"5127115","أَخْبَرَ ","أخبر "
"5127116","أُخْت ","أخت "
"5127120","اِخْتَارَ ","اختار "
"5127122","اِخْتَالَ (في مَشْيَته)","اختال (في مشيته)"
"5127123","اِخْتَبَأَ ","اختبأ "
"5127124","اِخْتِبَار ","اختبار "
"5127125","اِختباراتُ الأعماقِ (المائيَّة)","اختبارات الأعماق (المائية)"
"5127126","اِختِباريّ ","اختباري "
"5127127","اِخْتَبَرَ (أجْرَى اختبارًا على)","اختبر (أجرى اختبارا على)"
"5127128","اِخْتِراع ","اختراع "
"5127129","اِخْتِراق ","اختراق "
"5127130","اِخْتِراقيّ ","اختراقي "
"5127131","اِخْتِراقيَّة (إمكانيَّةُ الاختِراق)","اختراقية (إمكانية الاختراق)"
"5127132","اِخْتَرَعَ ","اخترع "
"5127133","اِخْتَرَقَ ","اخترق "
"5127134","اِخْتِزَال ","اختزال "
"5127135","اِخْتِزان ","اختزان "
"5127136","اِخْتَزَلَ ","اختزل "
"5127137","اِخْتَزَنَ ","اختزن "
"5127138","اِخْتَصّ ","اختص "
"5127139","اِخْتِصَار ","اختصار "
"5127141","اِخْتِصَارًا ","اختصارا "
"5127142","اِخْتِصاص (حَقْل)","اختصاص (حقل)"
"5127143","اِخْتِصَاصيّ ","اختصاصي "
"5127144","اِخْتَصَرَ ","اختصر "
"5127145","اِخْتَطَّ ","اختط "
"5127146","اِخْتِطَاف ","اختطاف "
"5127147","اِخْتَطَفَ ","اختطف "
"5127148","اِخْتِفَاء ","اختفاء "
"5127149","اِخْتَفَى ","اختفى "
"5127151","اِختَلَّ (ساءَ أداؤه)","اختل (ساء أداؤه)"
"5127153","اِختِلاج ","اختلاج "
"5127154","اِخْتِلاس ","اختلاس "
"5127155","اِختِلاط ","اختلاط "
"5127156","اِخْتِلاف ","اختلاف "
"5127158","اِخْتِلاق ","اختلاق "
"5127160","اِختِلال ","اختلال "
"5127162","اِخْتَلَجَ ","اختلج "
"5127163","اِخْتَلَسَ ","اختلس "
"5127165","اِخْتَلَطَ ","اختلط "
"5127166","اِخْتَلَفَ ","اختلف "
"5127169","اِخْتَلَقَ ","اختلق "
"5127170","اِخْتِمار ","اختمار "
"5127171","اِخْتَمَرَ ","اختمر "
"5127172","اِخْتِنَاق ","اختناق "
"5127173","اِخْتَنَقَ ","اختنق "
"5127174","اِخْتِيَار ","اختيار "
"5127175","اِخْتِيَاريّ ","اختياري "
"5127176","اِخْتِيَال ","اختيال "
"5127177","أُخْدُود ","أخدود "
"5127178","أَخَذَ ","أخذ "
"5127179","أَخَذَ (بعنف أو سرعة)","أخذ (بعنف أو سرعة)"
"5127194","آخِذٌ بالانْحِطَاط ","آخذ بالانحطاط "
"5127195","أَخْذ بالثَّأر ","أخذ بالثأر "
"5127196","أَخْذُ عيِّنات ","أخذ عينات "
"5127197","أَخَذَتْهُ الدَّهْشَة ","أخذته الدهشة "
"5127198","أَخَذَتْه سِنَة من النوم ","أخذته سنة من النوم "
"5127199","آخَر ","آخر "
"5127200","آخِر ","آخر "
"5127204","أَخَّرَ ","أخر "
"5127205","إِخراج ","إخراج "
"5127206","أَخَّرَت (الساعة)","أخرت (الساعة)"
"5127207","أَخْرَجَ ","أخرج "
"5127214","أَخْرَس ","أخرس "
"5127215","أَخْرَق ","أخرق "
"5127216","أخْزَى ","أخزى "
"5127217","أخْسَدة (اختزالٌ وأكسَدة)","أخسدة (اختزال وأكسدة)"
"5127218","اِخشِيشاب ","اخشيشاب "
"5127219","إِخْصَائِيّ ","إخصائي "
"5127220","أَخْصَبَ ","أخصب "
"5127221","إِخْصَاب ","إخصاب "
"5127222","إِخْضَاع ","إخضاع "
"5127223","أَخْضَر ","أخضر "
"5127224","أَخْضَعَ لِـ (عِصْيَانًا، إلخ)","أخضع لـ (عصيانا، إلخ)"
"5127225","أَخْطَأَ ","أخطأ "
"5127229","إِخْطار ","إخطار "
"5127230","أُخْطَبُوط ","أخطبوط "
"5127231","أَخَفُّ مما يَنْبَغِي (أضعفُ)","أخف مما ينبغي (أضعف)"
"5127232","إِخْفَاء ","إخفاء "
"5127233","إِخْفَات ","إخفات "
"5127234","إِخْفَاق ","إخفاق "
"5127235","أَخْفَتَ ","أخفت "
"5127236","أَخْفَقَ ","أخفق "
"5127237","أَخْفَى ","أخفى "
"5127239","أخَلّ بالأمن ","أخل بالأمن "
"5127240","إِخْلاء سَبيل ","إخلاء سبيل "
"5127241","إِخْلاص ","إخلاص "
"5127243","أَخْلاط ","أخلاط "
"5127244","أَخْلاق ","أخلاق "
"5127246","أَخلاقيّ ","أخلاقي "
"5127247","إِخْلال بالأمن العام ","إخلال بالأمن العام "
"5127248","أَخْلَفَ الرَّجاءَ ","أخلف الرجاء "
"5127249","أَخْلى ","أخلى "
"5127251","إِخماج ","إخماج "
"5127252","إِخماد ","إخماد "
"5127253","إِخْمَال (إِخمادُ الفاعليَّة)","إخمال (إخماد الفاعلية)"
"5127254","أَخْمَدَ ","أخمد "
"5127255","أَخْنَس (للأنف)","أخنس (للأنف)"
"5127256","إِخْوَان ","إخوان "
"5127257","أُخُوّة ","أخوة "
"5127258","أَخْوَى ","أخوى "
"5127259","أَخَوِيّ ","أخوي "
"5127260","أَخِير ","أخير "
"5127261","أَخِيرًا ","أخيرا "
"5127262","أَداء تمثيلي ","أداء تمثيلي "
"5127263","آدَاب ","آداب "
"5127265","أَدَاة ","أداة "
"5127275","أَدَارَ ","أدار "
"5127283","إِدَارَة ","إدارة "
"5127285","إِدَاريّ ","إداري "
"5127286","أَدَامَ (إلى الأبد)","أدام (إلى الأبد)"
"5127287","أَدَانَ ","أدان "
"5127288","إِدَانَة ","إدانة "
"5127289","أَدَب ","أدب "
"5127290","أَدَّبَ ","أدب "
"5127291","إِدْبار ","إدبار "
"5127292","أَدَبِيّ ","أدبي "
"5127293","اِدِّخار ","ادخار "
"5127294","إِدْخَال ","إدخال "
"5127295","اِدَّخَرَ ","ادخر "
"5127297","أَدْخَلَ ","أدخل "
"5127302","أَدْخَنُ اللَّوْن ","أدخن اللون "
"5127303","إِدْراج ","إدراج "
"5127304","إِدْرَاك ","إدراك "
"5127306","أَدْرَجَ ","أدرج "
"5127308","أَدْرَد ","أدرد "
"5127309","أَدْرَكَ ","أدرك "
"5127313","اِدِّعاء ","ادعاء "
"5127314","اِدَّعَى ","ادعى "
"5127316","إِدْغام حرفي عِلَّة في صوتٍ واحد ","إدغام حرفي علة في صوت واحد "
"5127317","أَدْلَى ","أدلى "
"5127318","إِدْمَاج ","إدماج "
"5127319","إِدْمَان ","إدمان "
"5127320","أَدْمَجَ ","أدمج "
"5127321","أَدْمَعَت (العين)","أدمعت (العين)"
"5127322","آدَمِيّ ","آدمي "
"5127323","أَدْنَى ","أدنى "
"5127325","أدْهَشَ ","أدهش "
"5127326","أَدْهَمُ ","أدهم "
"5127327","أَدّى ","أدى "
"5127334","أَدِيب ","أديب "
"5127335","أَدِيم ","أديم "
"5127336","إِذا ","إذا "
"5127343","إذًا ","إذا "
"5127344","أَذابَ ","أذاب "
"5127345","إِذابة ","إذابة "
